setor;maquina;historico_mtbf
Corte e estamparia;DESBOBINADOR;78:33:46
Corte e estamparia;LASER WELLE;51:01:23
Corte e estamparia;PLASMA 02 - WHITE MARTINS;81:08:05
Corte e estamparia;PLASMA 01 - WHITE MARTINS;97:19:41
Corte e estamparia;CALANDRA - LENZI 0460;701:51:55
Corte e estamparia;MONOVIA DO LASER;2809:03:59
Corte e estamparia;ES-PE-01 - PRENSA EXCÉNTRICA - ATLANTICA 0489;166:42:30
Corte e estamparia;ES-PE-02 - PRENSA EXCÉNTRICA PRK 130TON - 0491;1405:39:59
Corte e estamparia;ES-PE-03 - PRENSA EXCÉNTRICA - ATLANTICA 0493;1403:27:29
Corte e estamparia;ES-PH-01 - PRENSA HIDRÁULICA ENGOMAR - EKA 0553;1405:39:59
Corte e estamparia;ES-VI-01 - VIRADEIRA 4 mt chinesa WC67K-160/4000 - 0560;1405:39:59
Corte e estamparia;ES-VI-02 - VIRADEIRA 4 mt himeca - 0557;1405:39:59
Corte e estamparia;ES-VI-03 - VIRADEIRA 3 mt himeca - HIMECA 0498;2809:39:58
Corte e estamparia;ES-VI-04 - VIRADEIRA 5 mt chinesa WE67K-250/5000 - 0555;1405:39:59
Corte e estamparia;ES-VI-05 - VIRADEIRA 3 mt trumpf - TRUMPF 0500;935:59:59
Corte e estamparia;ES-LC-01 - LEVANTADOR DE CHAPA (MICROLIFT) - 1207;1405:39:59
Corte e estamparia;ES-DO-01 - DOBRADORA DE EXTREMIDADES;1405:39:59
Corte e estamparia;ES-RE-01 - REBORDEADEIRA - 1384;1405:19:59
Pintura;PI-CL-01 - CABINE DE LIMPEZA - DELTEC 0084;99:16:40
Pintura;PI-CP-01 - CABINE DE PINTURA - DELTEC 0106;68:02:47
Pintura;PI-CC-01 - CABINE DE CURA - DELTEC 0100;127:30:53
Pintura;PI-CS-01 - CABINE DE SECAGEM - DELTEC 0085;169:10:23
Pintura;PI-SE-01 - SISTEMA ELETROSTÁTICO 01 - EMBRASER 0110/0109/0108;282:51:03
Pintura;PI-SE-02 - SISTEMA ELETROSTÁTICO 02 - EMBRASER 0096/0098;567:42:17
Pintura;PI-TR-01 - TRANSPORTADOR - DELTEC 0099;947:06:34
Pintura;PI-PU-01 - SISTEMA TEMAC - TEMAC 0107;195:35:45
Pintura;PI-EG-01 - ESTUFA DE GÁS - ERZINGER;947:07:08
Pintura;PI-TA-01 - TRANSPORTADOR AÉREO - ERZINGER;315:14:36
Pintura;PI-SP-01 - SPRAY - ERZINGER;710:17:51
Pintura;PI-CP-02 - CABINE DE PINTURA - ERZINGER;354:57:03
Pintura;PI-BL-01 - BOMBA DE LAVAGEM - DELTEC 1201;2844:21:25
Pintura;PI-MO-01 - MONOVIA ENTRADA DA DELTEC 1 TON;709:46:36
Pintura;PI-MO-02 - MONOVIA SAÍDA DA CABINE DE CURA DELTEC 0,5 TON;709:31:36
Pintura;PI-MO-03 - MONOVIA ENTRE CABINE DE CURA E CABINE DE SECAGEM 01 0,5 TON;2848:11:25
Pintura;PI-MO-04 - MONOVIA ENTRE CABINE DE CURA E CABINE DE SECAGEM 02 0,5 TON;2848:21:25
Pintura;Outros (Mangueiras, pistolas, tambores);21:31:33
Usinagem;CENTRO DE USINAGEM - PAN MACHINE 0403;158:26:22
Usinagem;TORNO CNC - TRAVIS 0293;236:14:51
Usinagem;TORNO CNC - TRAVIS 0292;121:07:27
Usinagem;SERRA - STARRET 0295;354:32:03
Usinagem;SERRA - MEP 0296;351:01:04
Usinagem;US-PH-01 - PRENSA HIDRÁULICA CUBO - EKA 0406;1422:25:43
Usinagem;US-FC-01 - FURADEIRA DE COLUNA - NEWTON 0290;1422:25:43
Usinagem;US-FC-02 - FURADEIRA DE COLUNA - SANCHES BLANES 0291;1422:25:43
Usinagem;US-FC-03 - FURADEIRA DE COLUNA - 0416;1422:05:43
Usinagem;US-FC-04 - FURADEIRA DE COLUNA - 0419;1422:25:43
Usinagem;US-FC-05 - FURADEIRA DE COLUNA 2UB - 0418;1422:25:43
Usinagem;US-FC-06 - FURADEIRA DE COLUNA - SA YADOYA 0408;1421:30:43
Usinagem;US-TM-01 - TORNO MECÂNICO - ROMI 0429;1422:25:43
Solda;US-TM-02 - TORNO MECÂNICO - ROMI;1423:25:43
Solda;Ferramentas (Lixadeiras, esmerilhadeiras, alimentadores e tochas);42:37:22
Solda;MÁQUINA DE SOLDA - WHITE MARTINS 0832;154:25:31
Solda;MÁQUINA DE SOLDA - ESAB 0808;188:47:47
Solda;ROBÔ - KUKA;152:20:52
Solda;MÁQUINA DE SOLDA - WHITE MARTINS 0801;568:22:55
Solda;MÁQUINA DE SOLDA - ESAB 0603;255:12:59
Solda;MONOVIA - MONTAGEM PLATAFORMA F 1 TON;706:40:06
Solda;MONOVIA - LATERAIS 0,25 TON;708:41:07
Solda;MONOVIA - MONTAGEM DE LATERAIS;947:29:28
Solda;MONOVIA - MONTAGEM EIXOS 0,25 TON;566:08:29
Solda;MÁQUINA DE SOLDA - ESAB 0747;404:48:46
Solda;MÁQUINA DE SOLDA - WHITE MARTINS 0831;1421:39:42
Solda;MONOVIA - CHASSI PRÉ ROBÔ 0,25 TON;2842:20:01
Solda;MÁQUINA DE SOLDA - WHITE MARTINS 0736;472:47:11
Solda;MÁQUINA DE SOLDA - WHITE MARTINS 0540;474:03:24
Solda;MÁQUINA DE SOLDA - 0845;1421:35:42
Solda;MONOVIA - TANQUES 0,5 TON;2844:11:25
Solda;MÁQUINA DE SOLDA - 0611;389:11:29
Solda;MONOVIA - SOLDA CHASSI PÓS ROBO;946:52:45
Solda;MÁQUINA DE SOLDA - 0957;704:55:21
Solda;MÁQUINA DE SOLDA - WHITE MARTINS 0825;2844:26:25
Solda;MÁQUINA DE SOLDA - 0582;394:26:38
Solda;MÁQUINA DE SOLDA - 0436;406:18:38
Equipamentos de movimentação;EM-PO-01 - PONTE GH 16 TON DESCARGA MP - 0580;164:06:07
